brkQ,method,projtol,zeroQ,starttime,nmeshpts,ndatapts,ncores,gitcommit,uuid,predinput,queryinput,projQ,runtime,parity,genseed,errmetrics,rmse,mae,PredictMethod,L,int_fraction,nints,numnonints,r,barytol,inttol,nnMax,nn_mae,nn_rmse,barytype,barypars
1,avg,0.0001,0,15-Oct-2020 16:38:41,50000,10000,12,ff65e3f,a48cadde,5dof,5dof,1,0.003732,,1129594626,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:38:14,50000,10000,12,ff65e3f,27a20d0f,5dof,5dof,1,0.0116,,1129591484,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:37:27,50000,10000,12,ff65e3f,41e1fe36,5dof,5dof,1,0.001598,,1129590243,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:41:23,50000,10000,12,ff65e3f,84dbc9cf,5dof,5dof,1,0.00067,,1129613772,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:42:32,50000,10000,12,ff65e3f,d0919e18,5dof,5dof,1,0.00096,,1129619815,,0.129705333360717,0.0968788370312985,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:38:50,5000,10000,12,ff65e3f,6dae1bae,5dof,5dof,1,0.000758,,1129602532,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:43:47,5000,10000,12,ff65e3f,21cea24f,5dof,5dof,1,0.003051,,1129631803,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:39:16,5000,10000,12,ff65e3f,0873fe2d,5dof,5dof,1,0.000588,,1129605230,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:36:02,5000,10000,12,ff65e3f,458fdd8f,5dof,5dof,1,0.004036,,1129584567,,0.12910265563367,0.0965126000066609,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
1,avg,0.0001,0,15-Oct-2020 16:44:02,5000,10000,12,ff65e3f,c86f5cec,5dof,5dof,1,0.000833,,1129633290,,0.128614862680091,0.0968010819147877,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
