ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  7     26.56   73.40   63.44    0.648158e+02    0.317175e+02    0.138709e+04
  7     26.56   73.40   63.44    0.698633e+02    0.471679e+02    0.134453e+04
  7     26.56   73.40   63.44    0.648158e+02   -0.148283e+03    0.128037e+04
  7     26.56   73.40   63.44    0.698633e+02   -0.132832e+03    0.130267e+04
  7     26.56   73.40   63.44    0.824439e+02   -0.762263e+01    0.133708e+04
  7     26.56   73.40   63.44    0.698633e+02   -0.162670e+02    0.129416e+04
  7     26.56   73.40   63.44    0.824439e+02    0.172377e+03    0.129613e+04
  7     26.56   73.40   63.44    0.698633e+02    0.163733e+03    0.132547e+04
  7     26.56   73.40   63.44    0.824439e+02   -0.558123e+02    0.133398e+04
  7     26.56   73.40   63.44    0.824439e+02    0.124188e+03    0.119032e+04
  7     26.56   73.40   63.44    0.648158e+02   -0.317175e+02    0.132378e+04
  7     26.56   73.40   63.44    0.698633e+02   -0.471679e+02    0.132913e+04
  7     26.56   73.40   63.44    0.648158e+02    0.148283e+03    0.123873e+04
  7     26.56   73.40   63.44    0.698633e+02    0.132832e+03    0.125174e+04
  7     26.56   73.40   63.44    0.349134e+02    0.767175e+02    0.119032e+04
  7     26.56   73.40   63.44    0.349134e+02    0.103283e+03    0.133398e+04
  7     26.56   73.40   63.44    0.824439e+02    0.823774e+02    0.129613e+04
  7     26.56   73.40   63.44    0.747523e+02    0.690948e+02    0.132547e+04
  7     26.56   73.40   63.44    0.824439e+02    0.976226e+02    0.133708e+04
  7     26.56   73.40   63.44    0.747523e+02    0.110905e+03    0.130267e+04
  7     26.56   73.40   63.44    0.464867e+02    0.616600e+02    0.125174e+04
  7     26.56   73.40   63.44    0.615913e+02    0.610668e+02    0.123873e+04
  7     26.56   73.40   63.44    0.464867e+02    0.118340e+03    0.132913e+04
  7     26.56   73.40   63.44    0.615913e+02    0.118933e+03    0.132378e+04
  7     26.56   73.40   63.44    0.349134e+02   -0.103283e+03    0.128220e+04
  7     26.56   73.40   63.44    0.349134e+02   -0.767175e+02    0.134756e+04
  7     26.56   73.40   63.44    0.824439e+02   -0.976226e+02    0.130070e+04
  7     26.56   73.40   63.44    0.747523e+02   -0.110905e+03    0.127868e+04
