ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     intentionally selected 2,366 special boundaries 
c
c Ref: H.-K. Kim et al., Scripta Mater 64 (2011) 1152-1155
c
c Misorientation: three Euler angles (phi1,phi,phi2)
c                 see Fig. 1 in the paper
c Inclination   : polar (0~90) and azimuth (-180~180) angles
c                 upper half-sphere in Fig. 1 (see Fig. 4) 
c                 is considered, with +z direction polar 
c                 angle zero and +x direction (90,0) 
c GBE           : Gran boundary energy (mJ/m2)
ccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
 Sigma   ph1     ph      ph2        polar           azimuth          GBE
  7     26.56   73.40   63.44    0.698633D+02   -0.162670D+02    0.129416D+04
  7     26.56   73.40   63.44    0.824439D+02    0.172377D+03    0.129613D+04
  7     26.56   73.40   63.44    0.698633D+02    0.163733D+03    0.132547D+04
  7     26.56   73.40   63.44    0.824439D+02   -0.558123D+02    0.133398D+04
  7     26.56   73.40   63.44    0.824439D+02    0.124188D+03    0.119032D+04
  7     26.56   73.40   63.44    0.648158D+02   -0.317175D+02    0.132378D+04
  7     26.56   73.40   63.44    0.698633D+02   -0.471679D+02    0.132913D+04
  7     26.56   73.40   63.44    0.648158D+02    0.148283D+03    0.123873D+04
  7     26.56   73.40   63.44    0.698633D+02    0.132832D+03    0.125174D+04
  7     26.56   73.40   63.44    0.349134D+02    0.767175D+02    0.119032D+04
  7     26.56   73.40   63.44    0.349134D+02    0.103283D+03    0.133398D+04
  7     26.56   73.40   63.44    0.824439D+02    0.823774D+02    0.129613D+04
  7     26.56   73.40   63.44    0.747523D+02    0.690948D+02    0.132547D+04
  7     26.56   73.40   63.44    0.824439D+02    0.976226D+02    0.133708D+04
  7     26.56   73.40   63.44    0.747523D+02    0.110905D+03    0.130267D+04
  7     26.56   73.40   63.44    0.464867D+02    0.616600D+02    0.125174D+04
  7     26.56   73.40   63.44    0.615913D+02    0.610668D+02    0.123873D+04
  7     26.56   73.40   63.44    0.464867D+02    0.118340D+03    0.132913D+04
  7     26.56   73.40   63.44    0.615913D+02    0.118933D+03    0.132378D+04
  7     26.56   73.40   63.44    0.349134D+02   -0.103283D+03    0.128220D+04
  7     26.56   73.40   63.44    0.349134D+02   -0.767175D+02    0.134756D+04
  7     26.56   73.40   63.44    0.824439D+02   -0.976226D+02    0.130070D+04
  7     26.56   73.40   63.44    0.747523D+02   -0.110905D+03    0.127868D+04
  7     26.56   73.40   63.44    0.824439D+02   -0.823774D+02    0.134235D+04
