cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc 
c     Calculated grain boundary energies of bcc Fe for 
c     mechanically selected 66,339 grain boundaries
c
c  Misorientation : three Euler angles (phi1, phi, phi2)
c  Inclination    : polar and azimuth angles
c  GBE            : Gran boundary energy (mJ/m2)
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
c
  ph1  ph  ph2     polar           azimuth          GBE
   0   0  40    0.349130D+02    0.767170D+02    0.128774D+04
   0   0  40    0.145087D+03   -0.767170D+02    0.126572D+04
   0   0  40    0.824440D+02    0.823770D+02    0.134789D+04
   0   0  40   -0.105248D+03    0.690950D+02    0.129730D+04
   0   0  40    0.975560D+02   -0.823770D+02    0.138067D+04
   0   0  40   -0.747520D+02   -0.690950D+02    0.130462D+04
   0   0  40   -0.133513D+03    0.616600D+02    0.128788D+04
   0   0  40    0.615910D+02    0.610670D+02    0.130870D+04
   0   0  40   -0.464870D+02   -0.616600D+02    0.124679D+04
   0   0  40    0.118409D+03   -0.610670D+02    0.130954D+04
