GB_index,Sigma,Misorientation_Index,L11,L12,L13,R11,R12,R13,L21,L22,L23,R21,R22,R23,L31,L32,L33,R31,R32,R33,t1,t2,t3,cos,disorientation,h1,k1,l1,h2,k2,l2,ytilt,ztilt,DSC11,DSC12,DSC13,DSC21,DSC22,DSC23,DSC31,DSC32,DSC33,CSL11,CSL12,CSL13,CSL21,CSL22,CSL23,CSL31,CSL32
57,35,14,4,2,0,4,2,0,1,-2,3,1,-2,-3,3,-6,-5,-3,6,-5,2,1,0,-0.285714286,106.602,4,2,0,4,2,0,0,0,-0.085714286,-0.828571429,1.142857143,0.057142857,-0.114285714,0.571428571,-0.142857143,0.285714286,-0.428571429,-4,-2,0,-11,-48,-5,-11,-43
58,7,8,4,2,0,4,2,0,1,-2,3,-1,2,3,3,-6,-5,3,-6,5,1,1,1,0.785714286,38.2132,4,2,0,4,2,0,0,0,0.714285714,-0.428571429,1.142857143,0.142857143,-0.285714286,2.428571429,0.142857143,-0.285714286,0.428571429,4,2,0,9,-4,-1,4,-3
59,35,14,3,2,1,3,2,-1,0,2,-4,0,2,4,-5,6,3,5,-6,3,2,1,0,-0.285714286,106.602,3,2,1,3,2,1,1,0,0.571428571,-0.885714286,-0.942857143,5,-6,-7,-7.428571429,8.914285714,10.45714286,-12,-10,0,5,-48,11,2,-31
60,5,1,3,2,1,3,2,-1,0,2,-4,0,-2,-4,-5,6,3,-5,6,-3,1,0,0,0.8,36.8699,3,2,1,3,2,1,0,0,1,0.6,0.8,0,0.8,0.4,0,-1.4,-0.2,2,0,0,5,-4,3,4,-3
61,37,15,7,5,0,7,5,0,0,0,2,0,0,-2,5,-7,0,-5,7,0,1,0,0,0.945945946,18.9246,7,5,0,7,5,0,1,0,2.189189189,-2.864864865,-1,-20.81081081,29.13513514,10,25,-35,-12,7,5,0,12,35,-37,1,6
62,37,15,2,0,0,2,0,0,0,7,5,0,7,-5,0,-5,7,0,5,7,1,0,0,0.945945946,18.9246,2,0,0,2,0,0,0,0,1,0.324324324,0.945945946,0,0.189189189,0.135135135,0,-1.27027027,-0.621621622,2,0,0,37,-35,12,7,-6
63,19,16,6,6,2,6,6,2,1,-1,0,-1,1,0,1,1,-6,-1,-1,6,1,1,0,0.894736842,26.5254,6,6,2,6,6,2,1,0,-0.368421053,0.631578947,1.210526316,-0.684210526,0.315789474,1.105263158,2,-1,-3,6,6,2,-5,-24,11,-3,-11
64,19,16,6,1,1,6,1,1,0,1,-1,0,-1,1,-2,6,6,2,-6,-6,1,1,0,0.894736842,26.5254,6,1,1,6,1,1,1,0,-0.684210526,3.052631579,2.052631579,4.526315789,-16.57894737,-10.57894737,-6,22,14,6,1,1,-11,-24,-5,-7,-12
65,19,16,1,1,0,1,1,0,1,-1,6,1,-1,-6,6,-6,-2,-6,6,-2,1,1,0,0.894736842,26.5254,1,1,0,1,1,0,0,0,-0.631578947,-0.368421053,1.210526316,-0.157894737,0.157894737,1.052631579,0.263157895,-0.263157895,-2.421052632,-1,-1,0,12,7,-23,11,5
66,39,17,7,5,2,7,5,2,2,-2,-2,-2,2,2,-1,3,-4,1,-3,4,1,1,1,0.846153846,32.2042,7,5,2,7,5,2,1,0,3.179487179,-3.871794872,-0.948717949,-13.1025641,16.64102564,4.256410256,37,-47,-12,7,5,2,49,-4,-25,18,1
67,13,18,7,5,2,7,5,-2,2,-2,-2,2,-2,2,-1,3,-4,1,-3,-4,1,1,1,0.884615385,27.7958,7,5,2,7,5,2,1,0,0.538461538,-0.615384615,1.153846154,0.384615385,-1.153846154,3.538461538,0.076923077,-0.230769231,0.307692308,3,1,0,16,-9,-1,5,-4
68,3,2,7,5,2,7,5,-2,2,-2,-2,-2,2,-2,-1,3,-4,-1,3,4,1,1,0,0.333333333,70.5288,7,5,2,7,5,2,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
69,13,18,4,3,1,4,3,1,2,-2,-2,-2,2,2,-2,5,-7,2,-5,7,1,1,1,0.884615385,27.7958,4,3,1,4,3,1,1,0,-0.692307692,1.230769231,0.076923077,1.692307692,-2.230769231,-0.076923077,-6,8,0,4,3,1,16,-1,-9,5,-1
70,39,17,4,3,1,4,3,-1,2,-2,-2,2,-2,2,-2,5,-7,2,-5,-7,1,1,1,0.846153846,32.2042,4,3,1,4,3,1,1,0,0.025641026,0.435897436,-2.41025641,0.564102564,-1.41025641,9.974358974,-0.974358974,2.435897436,-17.41025641,10,4,0,49,-25,-4,13,-4
71,3,2,4,3,1,4,3,-1,2,-2,-2,-2,2,-2,-2,5,-7,-2,5,7,1,1,0,0.333333333,70.5288,4,3,1,4,3,1,0,0,0,-1,1,-0.333333333,0.333333333,1.333333333,-0.333333333,0.333333333,-0.666666667,-1,-1,0,0,1,-1,1,-4
72,39,17,2,2,2,2,2,2,4,-3,-1,4,-1,-3,2,5,-7,-2,7,-5,1,1,1,0.846153846,32.2042,2,2,2,2,2,2,0,0,-1.256410256,-0.641025641,-0.102564103,0.487179487,-0.282051282,-0.205128205,-1.153846154,0.615384615,0.538461538,-2,-2,-2,25,4,49,11,3
73,13,18,2,2,2,2,2,2,4,-3,-1,-4,1,3,2,5,-7,2,-7,5,1,1,1,0.884615385,27.7958,2,2,2,2,2,2,0,0,0.076923077,0.692307692,1.230769231,-0.846153846,0.384615385,0.461538462,1.153846154,-0.615384615,-0.538461538,2,2,2,-9,-16,-1,-5,-11
74,41,19,9,1,0,9,1,0,0,0,2,0,0,-2,1,-9,0,-1,9,0,1,0,0,0.975609756,12.6804,9,1,0,9,1,0,1,0,0.219512195,-0.975609756,-1,-0.195121951,1.756097561,2,1,-9,-10,9,1,0,40,9,-41,40,9
75,41,19,2,0,0,2,0,0,0,9,1,0,9,-1,0,-1,9,0,1,9,1,0,0,0.975609756,12.6804,2,0,0,2,0,0,0,0,1,0.975609756,0.219512195,0,0.951219512,-0.56097561,0,-1.195121951,0.756097561,2,0,0,41,-9,40,33,-8
76,21,20,8,4,2,8,4,2,1,-1,-2,-1,1,2,-1,3,-2,1,-3,2,2,1,0,0.523809524,58.4119,8,4,2,8,4,2,0,0,1.380952381,-1.80952381,-0.904761905,-6.523809524,10.23809524,5.619047619,7,-11,-6,8,4,2,19,20,-11,15,17
77,7,8,8,4,2,8,4,-2,1,-1,-2,1,-1,2,-1,3,-2,1,-3,-2,1,1,1,0.785714286,38.2132,8,4,2,8,4,2,0,0,0.714285714,-1.142857143,0.428571429,0.142857143,-0.428571429,0.285714286,1.571428571,-4.714285714,1.142857143,3,1,0,8,-3,-5,1,-1
78,3,2,8,4,2,8,4,-2,1,-1,-2,-1,1,-2,-1,3,-2,-1,3,2,1,1,0,0.333333333,70.5288,8,4,2,8,4,2,0,0,0.333333333,-1.333333333,0.333333333,0.666666667,-0.666666667,0.666666667,-1.666666667,1.666666667,-0.666666667,-1,-1,0,-1,4,-1,0,-1
